,name,value_dest
563,keyAddressLabelCustomized,Custom
564,keyAddressLabelDaycare,Daycare
565,keyAddressLabelGym,Gym
566,keyAddressLabelHint,Enter a Name (max 10 characters)
567,keyAddressLabelHome,Home
568,keyAddressLabelSchool,School
569,keyAddressLabelWork,Work
570,keyAddressSearchHint,Keyword or Address
571,keyAddressSearchResultTitle,Select an Address
572,keyRecentDestinations,Recent Destinations
573,keyRecentSearch,Search History
574,keyboardLocked,Keyboard locked while driving
575,labelDataAnonymous,Collect Anonymized Data
576,labelDataWithProfileInfo,Collect Data with Profile Information
577,labelDestCardFrequent,All Frequent Destinations
578,labelDestCardNone,Do Not Show Any Card on Map
579,labelDestCardOnlyKey,Only the Key Destinations Below
580,labelFuelPreferencesMid,Mid-Grade
581,labelFuelPreferencesPremium,Premium
582,labelFuelPreferencesRegular,Regular
583,labelResultsFuelMid,Mid-Grade: %1$s
584,labelResultsFuelPremium,Premium: %1$s
585,labelResultsFuelRegular,Regular: %1$s
586,labelResultsNoPriceData,No Price Data
587,largeMapUpdateAvailable,Large Map Update Available
588,lastParkedLabel,Last Parked Location
589,leisureItemLabel,Leisure
590,leisureScreenTitle,Leisure
591,listItemIndexFormat,%s. 
592,listView,List View
593,loadingMapsOnSplash,Loading Maps
594,localMapUpdateFailed,New Local Map Update Failed
595,localTransitStopItemLabel,Local Transit Stations
596,locationDisabled,Disabled: Location Settings Off
597,lockSDCardContent,"Once initialized, this Nav SD card can only be used for navigation in this vehicle."
598,lockSDCardTitle,SD Card Message
599,lodgingItemLabel,Lodging
600,lodgingScreenTitle,Lodging
601,lodgingSubItemLabel,All Lodging
602,longDistanceBusStationItemLabel,Long Distance Bus Stations
604,manageFeaturesTitle,Manage Features
605,manageHistoryLabel,Manage History
606,manageHistoryTitle,Manage History
607,mapColorSummary,Select Auto to automatically change modes based on lighting conditions.
608,mapControl,Map Control
609,mapControlInstructionBack,Back
610,mapControlInstructionDismiss,Dismiss
611,mapControlInstructionExit,Exit
612,mapControlInstructionPan,Pan
613,mapControlInstructionPin,Pin
614,mapControlInstructionRecenter,Recenter
615,mapControlInstructionSelect,Select
616,mapControlInstructionSwitch,Switch
617,mapControlInstructionZoom,Zoom
618,mapPreferencesLabel,Map Preferences
619,mapPreferencesTitle,Map Preferences
620,mapSupplierLabel,Map Supplier:
621,mapTrafficCameraTitle,Safety Camera
622,mapTrafficIncidentTitle,Traffic Incident
623,mapUpdateFailedGenericErrorContactDealer,General failure. See Owner’s Manual for more detail or visit your dealer.
